label,value,caseReference
CaseTag_v3,20180228/006 Judy Reed,102501
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:19,102501
CaseSummary_1_v4,Prob 98.00% vs 70.00% & Oddity 13.9 vs 15.0 28Feb2018 17:19,102501
state,Created_v1,102491
CaseTag_v3,20180228/005 Esther Mcdonald,102491
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:19,102491
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 6.8 vs 15.0 28Feb2018 17:19,102491
state,Created_v1,102471
CaseTag_v3,20180228/003 Denise Pierce,102471
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:18,102471
CaseSummary_1_v4,Prob 91.00% vs 70.00% & Oddity 6.5 vs 15.0 28Feb2018 17:18,102471
state,Created_v1,102461
CaseTag_v3,20180228/002 Esther Mcdonald,102461
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:18,102461
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 3.9 vs 15.0 28Feb2018 17:18,102461
state,Created_v1,102451
CaseTag_v3,20180228/001 Judy Reed,102451
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:18,102451
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 28Feb2018 17:18,102451
state,Created_v1,102441
CaseTag_v3,20180228/001 Ricky Russell,102441
CaseInitiation_v7,Engine SPOTFIREDEMO 28Feb2018 17:13,102441
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 28Feb2018 17:13,102441
state,ReferredRegulator_v1,102211
CaseTag_v3,20180226/001 Esther Mcdonald,102211
CaseInitiation_v7,Engine SPOTFIREDEMO 26Feb2018 13:16,102211
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 26Feb2018 13:16,102211
state,ReferredUp_v1,102331
CaseTag_v3,20180227/001 Robert Green,102331
CaseInitiation_v7,Engine SPOTFIREDEMO 27Feb2018 13:28,102331
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 27Feb2018 13:28,102331
state,NoFraud_v1,102251
CaseTag_v3,20180226/001 Denise Pierce,102251
CaseInitiation_v7,Engine SPOTFIREDEMO 26Feb2018 19:15,102251
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 26Feb2018 19:15,102251
state,Investigating_v1,92161
CaseTag_v3,20180105/002 Jacob Marteens,92161
CaseInitiation_v7,Engine WIN-ML5S6H8ICI7 5Feb18 14:27,92161
CaseSummary_1_v4,Prob 72.41% vs 70.00% & Oddity 19.0 vs 15.0,92161
state,WasFraud_v1,81081
CaseTag_v3,20180102/003 Robert Green,81081
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:53,81081
CaseSummary_1_v4,Prob 91.00% vs 70.00% & Oddity 6.5 vs 15.0 02Jan2018 14:53,81081
state,WasFraud_v1,81071
CaseTag_v3,20180102/002 Jose Ross,81071
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:53,81071
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 3.9 vs 15.0 02Jan2018 14:53,81071
state,WasFraud_v1,81061
CaseTag_v3,20180102/001 Randy Collins,81061
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:53,81061
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 17.1 vs 15.0 02Jan2018 14:53,81061
state,Inconclusive_v1,81111
CaseTag_v3,20180102/006 Denise Pierce,81111
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:54,81111
CaseSummary_1_v4,Prob 98.00% vs 70.00% & Oddity 13.9 vs 15.0 02Jan2018 14:54,81111
state,NoFraud_v1,81101
CaseTag_v3,20180102/005 Robert Green,81101
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:53,81101
CaseSummary_1_v4,Prob 99.00% vs 70.00% & Oddity 6.8 vs 15.0 02Jan2018 14:53,81101
state,WasFraud_v1,81091
CaseTag_v3,20180102/004 Judy Reed,81091
CaseInitiation_v7,Engine SPOTFIREDEMO 02Jan2018 14:53,81091
CaseSummary_1_v4,Prob 100.00% vs 70.00% & Oddity 12.8 vs 15.0 02Jan2018 14:53,81091
state,Customers_v1,52251
CampaignName_v1,Single customer target,52251
CustomerName_v1,BNP,52251
state,ManualChannel_v22,65271
InvestigationID_v1,111,65271
state,Archive,73471
AssetID_v1,2017-12-06T12:28:03+00:00_948,73471
Resume_v8,Script - monAsset,73471
state,Review,71291
AssetID_v1,2017-11-28T19:15:46+00:00_3876,71291
Resume_v8,Theme - Dark Blue paperscreen (Dark),71291
state,Archive,73251
AssetID_v1,2017-12-05T17:41:20+00:00_4614,73251
Resume_v8,Script - BLA,73251
state,Provision,71261
AssetID_v1,2017-11-28T17:47:03+00:00_9390,71261
Resume_v8,Visualization - VisTimeline,71261
Product_v14,Spotfire,71261
state,Review,70501
AssetID_v1,2017-11-27T16:36:52+00:00_7535,70501
Resume_v8,Template - Simple Page layout Template 1,70501
Product_v14,Spotfire,70501
state,Review,71341
AssetID_v1,2017-11-28T19:18:49+00:00_5200,71341
Resume_v8,Theme - Gray CFO,71341
Product_v14,Spotfire,71341
state,Provision,71361
AssetID_v1,2017-11-28T20:21:47+00:00_4614,71361
Resume_v8,Visualization - Graph CytoScape,71361
Product_v14,Spotfire,71361
state,Provision,71331
AssetID_v1,2017-11-28T19:18:14+00:00_9903,71331
Resume_v8,Theme - Light blue tiles,71331
Product_v14,Spotfire,71331
state,Provision,71171
AssetID_v1,2017-11-28T17:13:27+00:00_4574,71171
Resume_v8,Template - Sample Application with navigation,71171
Product_v14,Spotfire,71171
state,Provision,71311
AssetID_v1,2017-11-28T19:17:08+00:00_2462,71311
Resume_v8,Theme - Gray paperscreen Theme,71311
Product_v14,Spotfire,71311
state,Review,71301
AssetID_v1,2017-11-28T19:16:25+00:00_2908,71301
Resume_v8,Theme - Dark Blue paperscreen (Light),71301
Product_v14,Spotfire,71301
state,Review,71321
AssetID_v1,2017-11-28T19:17:42+00:00_2138,71321
Resume_v8,Theme - Gray and gold tile,71321
state,Review,71131
AssetID_v1,2017-11-28T15:54:19+00:00_1499,71131
Resume_v8,other - TERR Packages Explorer,71131
state,Review,69471
AssetID_v1,2017-11-24T13:04:58+00:00_3124,69471
Resume_v8,bpm - Test1,69471
state,Data entry,68081
OpportunityName_v1,Biffa BPM,68081
Customer_v1,Biffa,68081
state,Go-NoGo,67981
OpportunityName_v1,Manutan,67981
Customer_v1,Manutan,67981
SalesforceId_v1,https://tibco.my.salesforce.com/0061a00000LXo5w?srPos=0&srKp=006,67981
state,Go-NoGo,64231
OpportunityName_v1,Auchan - Articles & Supplier Lifecycle,64231
Customer_v1,Auchan,64231
SalesforceId_v1,https://tibco.my.salesforce.com/0061a00000MFN2A,64231
state,Go-NoGo,64801
OpportunityName_v1,L'Oreal - Case mgt for creation of product codes,64801
Customer_v1,L'Oreal,64801
SalesforceId_v1,https://tibco.my.salesforce.com/0061a00000LXdpK,64801
state,Go-NoGo,64791
OpportunityName_v1,Zimmer Biomet - Tibco Live Apps,64791
Customer_v1,Zimmer Biomet,64791
SalesforceId_v1,https://tibco.my.salesforce.com/0061a00000LZ8cr,64791
state,Doesnotexist_v7,69431
SupplierId_v1,AUCHAN,69431
BuyerCode_v1,BUYER1,69431
ArticleId_v1,Article in english,69431
state,CardEntry_v1,69421
SupplierId_v1,AUCHAN,69421
BuyerCode_v1,TEST,69421
ArticleId_v1,Article in english,69421
state,Recommendation_v1,88921
NPSID_v2,NPS-LEND-000017,88921
Customer_v1,Nelson,88921
Country_v1,Canada,88921
state,Created,88861
NPSID_v2,NPS-LEND-000016,88861
Customer_v1,Nicolas,88861
Country_v1,France,88861
state,Recommendation_v1,82281
NPSID_v2,NPS-LEND-000015,82281
Customer_v1,Gandon,82281
Country_v1,France,82281
state,ReviewFeedback_v1,81741
NPSID_v2,NPS-LEND-000014,81741
Customer_v1,Yasir Small,81741
Country_v1,United States,81741
state,ReviewFeedback_v1,81731
NPSID_v2,NPS-LEND-000013,81731
Customer_v1,Yasir Small,81731
Country_v1,United States,81731
state,ReviewFeedback_v1,81711
NPSID_v2,NPS-LEND-000012,81711
Customer_v1,Yuli Steele,81711
Country_v1,Germany,81711
state,ReviewFeedback_v1,81701
NPSID_v2,NPS-LEND-000011,81701
Customer_v1,Yuli Steele,81701
Country_v1,Germany,81701
state,ReviewFeedback_v1,81691
NPSID_v2,NPS-LEND-000010,81691
Customer_v1,Yuli Steele,81691
Country_v1,Germany,81691
state,ReviewFeedback_v1,81681
NPSID_v2,NPS-LEND-000009,81681
Customer_v1,Nicolas Roche,81681
Country_v1,France,81681
state,ReviewFeedback_v1,81671
NPSID_v2,NPS-LEND-000008,81671
Customer_v1,Enrico Fumagalli,81671
Country_v1,Italy,81671
state,ReviewFeedback_v1,81521
NPSID_v2,NPS-LEND-000007,81521
Customer_v1,Nicolas Roche,81521
Country_v1,France,81521
state,ReviewFeedback_v1,81501
NPSID_v2,NPS-LEND-000006,81501
Customer_v1,Vaughan Pate,81501
Country_v1,Canada,81501
state,ReviewFeedback_v1,81491
NPSID_v2,NPS-LEND-000005,81491
Customer_v1,Bevis Cox,81491
Country_v1,Canada,81491
state,ReviewFeedback_v1,81481
NPSID_v2,NPS-LEND-000004,81481
Customer_v1,Bevis Cox,81481
Country_v1,Canada,81481
state,ReviewFeedback_v1,81471
NPSID_v2,NPS-LEND-000003,81471
Customer_v1,Nicolas Roche,81471
Country_v1,France,81471
state,ReviewFeedback_v1,81461
NPSID_v2,NPS-LEND-000002,81461
Customer_v1,Vaughan Pate,81461
Country_v1,Canada,81461
state,ReviewFeedback_v1,81451
NPSID_v2,NPS-LEND-000001,81451
Customer_v1,Vaughan Pate,81451
Country_v1,Canada,81451
state,Completed,81441
Customer_v1,Nicolas Roche,81441
state,Completed,81431
Customer_v1,Nicolas Roche,81431
state,Completed,81421
Customer_v1,Nicolas Roche,81421
state,Created_v1,101491
Name_v1,NamOs,101491
Surname_v1,Hack3rr,101491
state,Created_v1,91631
Name_v1,First,91631
Surname_v1,Last,91631
state,Collectedocuments_v1,103261
Nomduclient_v1,TIBCO,103261
Age_v1,309,103261
Date_1_v1,2018-03-06,103261
state,Created_v1,110341
CaseTag_v1,Alert for Carolyn Paul,110341
CaseInitiation_v1,Initiated from analytics review,110341
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,110341
state,ReferredUp_v1,109831
CaseTag_v1,Alert for Orli Bowman,109831
CaseInitiation_v1,Initiated from analytics review,109831
CaseSummary_1_v1,Orli Bowman oddity: 51.29,109831
state,ReferredUp_v1,109821
CaseTag_v1,Alert for Solomon Hanson,109821
CaseInitiation_v1,Initiated from analytics review,109821
CaseSummary_1_v1,Solomon Hanson oddity: 48.04,109821
state,ReferredUp_v1,109791
CaseTag_v1,Alert for Carolyn Paul,109791
CaseInitiation_v1,Initiated from analytics review,109791
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,109791
state,Created_v1,109781
CaseTag_v1,Alert for Wesley Roberts,109781
CaseInitiation_v1,Initiated from analytics review,109781
CaseSummary_1_v1,Wesley Roberts oddity: 51.47,109781
state,ReferredUp_v1,105711
CaseTag_v1,Alert for Brynn Collier,105711
CaseInitiation_v1,Initiated from analytics review,105711
CaseSummary_1_v1,Brynn Collier oddity: 46.73,105711
state,ReferredUp_v1,105771
CaseTag_v1,Alert for Shana Tanner,105771
CaseInitiation_v1,Initiated from analytics review,105771
CaseSummary_1_v1,Shana Tanner oddity: 46.50,105771
state,Created_v1,109351
CaseTag_v1,Alert for Keelie Lamb,109351
CaseInitiation_v1,Initiated from analytics review,109351
CaseSummary_1_v1,Keelie Lamb oddity: 51.43,109351
state,Created_v1,109301
CaseTag_v1,Alert for Carolyn Paul,109301
CaseInitiation_v1,Initiated from analytics review,109301
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,109301
state,Created_v1,109221
CaseTag_v1,Alert for Carolyn Paul,109221
CaseInitiation_v1,Initiated from analytics review,109221
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,109221
state,Created_v1,109181
CaseTag_v1,Alert for Kibo Zimmerman,109181
CaseInitiation_v1,Initiated from analytics review,109181
CaseSummary_1_v1,Kibo Zimmerman oddity: 50.08,109181
state,Created_v1,108831
CaseTag_v1,Alert for Kibo Zimmerman,108831
CaseInitiation_v1,Initiated from analytics review,108831
CaseSummary_1_v1,Kibo Zimmerman oddity: 50.08,108831
state,Created_v1,108621
CaseTag_v1,Alert for Kibo Zimmerman,108621
CaseInitiation_v1,Initiated from analytics review,108621
CaseSummary_1_v1,Kibo Zimmerman oddity: 50.08,108621
state,Created_v1,108611
CaseTag_v1,Alert for Kibo Zimmerman,108611
CaseInitiation_v1,Initiated from analytics review,108611
CaseSummary_1_v1,Kibo Zimmerman oddity: 50.08,108611
state,Created_v1,108591
CaseTag_v1,Alert for Theodore Ferrell,108591
CaseInitiation_v1,Initiated from analytics review,108591
CaseSummary_1_v1,Theodore Ferrell oddity: 46.78,108591
state,Created_v1,108531
CaseTag_v1,Alert for Kibo Zimmerman,108531
CaseInitiation_v1,Initiated from analytics review,108531
CaseSummary_1_v1,"Kibo Zimmerman oddity: 50,08",108531
state,Created_v1,108511
CaseTag_v1,Alert for Solomon Hanson,108511
CaseInitiation_v1,Initiated from analytics review,108511
CaseSummary_1_v1,"Solomon Hanson oddity: 48,04",108511
state,Created_v1,108441
CaseTag_v1,Alert for Orli Bowman,108441
CaseInitiation_v1,Initiated from analytics review,108441
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108441
state,Created_v1,108431
CaseTag_v1,Alert for Orli Bowman,108431
CaseInitiation_v1,Initiated from analytics review,108431
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108431
state,Created_v1,108421
CaseTag_v1,Alert for Orli Bowman,108421
CaseInitiation_v1,Initiated from analytics review,108421
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108421
state,Created_v1,108411
CaseTag_v1,Alert for Orli Bowman,108411
CaseInitiation_v1,Initiated from analytics review,108411
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108411
state,Created_v1,108401
CaseTag_v1,Alert for Kristen Wiley,108401
CaseInitiation_v1,Initiated from analytics review,108401
CaseSummary_1_v1,Kristen Wiley oddity: 52.09,108401
state,Created_v1,108391
CaseTag_v1,Alert for Orli Bowman,108391
CaseInitiation_v1,Initiated from analytics review,108391
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108391
state,Created_v1,108331
CaseTag_v1,Alert for Troy Crawford,108331
CaseInitiation_v1,Initiated from analytics review,108331
CaseSummary_1_v1,Troy Crawford oddity: 50.26,108331
state,Created_v1,108291
CaseTag_v1,Alert for Orli Bowman,108291
CaseInitiation_v1,Initiated from analytics review,108291
CaseSummary_1_v1,Orli Bowman oddity: 51.29,108291
state,Created_v1,108131
CaseTag_v1,Alert for Calvin Campos,108131
CaseInitiation_v1,Initiated from analytics review,108131
CaseSummary_1_v1,"Calvin Campos oddity: 57,12",108131
state,Created_v1,107631
CaseTag_v1,Alert for Calvin Campos,107631
CaseInitiation_v1,Initiated from analytics review,107631
CaseSummary_1_v1,Calvin Campos oddity: 57.12,107631
state,Created_v1,107581
CaseTag_v1,Alert for Orli Bowman,107581
CaseInitiation_v1,Initiated from analytics review,107581
CaseSummary_1_v1,Orli Bowman oddity: 51.29,107581
state,Created_v1,107571
CaseTag_v1,Alert for Orli Bowman,107571
CaseInitiation_v1,Initiated from analytics review,107571
CaseSummary_1_v1,Orli Bowman oddity: 51.29,107571
state,Created_v1,107381
CaseTag_v1,Alert for Carolyn Paul,107381
CaseInitiation_v1,Initiated from analytics review,107381
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107381
state,Created_v1,107361
CaseTag_v1,Alert for Kibo Zimmerman,107361
CaseInitiation_v1,Initiated from analytics review,107361
CaseSummary_1_v1,Kibo Zimmerman oddity: 50.08,107361
state,Created_v1,107351
CaseTag_v1,Alert for Carolyn Paul,107351
CaseInitiation_v1,Initiated from analytics review,107351
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107351
state,Created_v1,107341
CaseTag_v1,Alert for Carolyn Paul,107341
CaseInitiation_v1,Initiated from analytics review,107341
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107341
state,Created_v1,107331
CaseTag_v1,Alert for Carolyn Paul,107331
CaseInitiation_v1,Initiated from analytics review,107331
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107331
state,Created_v1,107321
CaseTag_v1,Alert for Carolyn Paul,107321
CaseInitiation_v1,Initiated from analytics review,107321
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107321
state,Created_v1,107301
CaseTag_v1,Alert for Carolyn Paul,107301
CaseInitiation_v1,Initiated from analytics review,107301
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107301
state,Created_v1,107251
CaseTag_v1,Alert for Solomon Hanson,107251
CaseInitiation_v1,Initiated from analytics review,107251
CaseSummary_1_v1,"Solomon Hanson oddity: 48,04",107251
state,Created_v1,107241
CaseTag_v1,Alert for Kibo Zimmerman,107241
CaseInitiation_v1,Initiated from analytics review,107241
CaseSummary_1_v1,"Kibo Zimmerman oddity: 50,08",107241
state,Created_v1,107171
CaseTag_v1,Alert for Carolyn Paul,107171
CaseInitiation_v1,Initiated from analytics review,107171
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107171
state,Created_v1,107141
CaseTag_v1,Alert for Carolyn Paul,107141
CaseInitiation_v1,Initiated from analytics review,107141
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107141
state,Created_v1,107121
CaseTag_v1,Alert for Carolyn Paul,107121
CaseInitiation_v1,Initiated from analytics review,107121
CaseSummary_1_v1,Carolyn Paul oddity: 50.30,107121
state,Created_v1,107111
CaseTag_v1,Alert for Carolyn Paul,107111
CaseInitiation_v1,Initiated from analytics review,107111
CaseSummary_1_v1,"Carolyn Paul oddity: 50,30",107111
state,Created_v1,107091
CaseTag_v1,Alert for Kibo Zimmerman,107091
CaseInitiation_v1,Initiated from analytics review,107091
CaseSummary_1_v1,"Kibo Zimmerman oddity: 50,08",107091
state,Created_v1,107081
CaseTag_v1,Alert for Kristen Wiley,107081
CaseInitiation_v1,Initiated from analytics review,107081
CaseSummary_1_v1,Kristen Wiley oddity: 52.09,107081
state,Created_v1,107071
CaseTag_v1,Alert for Kristen Wiley,107071
CaseInitiation_v1,Initiated from analytics review,107071
CaseSummary_1_v1,Kristen Wiley oddity: 52.09,107071
state,Created_v1,107061
CaseTag_v1,Alert for Theodore Ferrell,107061
CaseInitiation_v1,Initiated from analytics review,107061
CaseSummary_1_v1,Theodore Ferrell oddity: 43.46,107061
state,Created_v1,106991
CaseTag_v1,Alert for Kameko Harmon,106991
CaseInitiation_v1,Initiated from analytics review,106991
CaseSummary_1_v1,Kameko Harmon oddity: 51.30,106991
state,Created_v1,106751
CaseTag_v1,Alert for Indira Hensley,106751
CaseInitiation_v1,Initiated from analytics review,106751
CaseSummary_1_v1,Indira Hensley oddity: 13.89,106751
state,Created_v1,106741
CaseTag_v1,Alert for Ursula Gray,106741
CaseInitiation_v1,Initiated from analytics review,106741
CaseSummary_1_v1,Ursula Gray oddity: 10.43,106741
state,Created_v1,106731
CaseTag_v1,Alert for Olga Horn,106731
CaseInitiation_v1,Initiated from analytics review,106731
CaseSummary_1_v1,Olga Horn oddity: 15.72,106731
state,Created_v1,106721
CaseTag_v1,Alert for Phelan Willis,106721
CaseInitiation_v1,Initiated from analytics review,106721
CaseSummary_1_v1,Phelan Willis oddity: 11.89,106721
state,Created_v1,106711
CaseTag_v1,Alert for Shaeleigh Jacobson,106711
CaseInitiation_v1,Initiated from analytics review,106711
CaseSummary_1_v1,Shaeleigh Jacobson oddity: 17.25,106711
state,Created_v1,106701
CaseTag_v1,Alert for Abraham Barker,106701
CaseInitiation_v1,Initiated from analytics review,106701
CaseSummary_1_v1,Abraham Barker oddity: 22.12,106701
state,Created_v1,106691
CaseTag_v1,Alert for Brenna Holloway,106691
CaseInitiation_v1,Initiated from analytics review,106691
CaseSummary_1_v1,Brenna Holloway oddity: 17.50,106691
state,Created_v1,106681
CaseTag_v1,Alert for Howard Malone,106681
CaseInitiation_v1,Initiated from analytics review,106681
CaseSummary_1_v1,Howard Malone oddity: 14.52,106681
state,Created_v1,106671
CaseTag_v1,Alert for Howard Malone,106671
CaseInitiation_v1,Initiated from analytics review,106671
CaseSummary_1_v1,Howard Malone oddity: 14.52,106671
state,Created_v1,106661
CaseTag_v1,Alert for Howard Malone,106661
CaseInitiation_v1,Initiated from analytics review,106661
CaseSummary_1_v1,Howard Malone oddity: 14.52,106661
state,Created_v1,106651
CaseTag_v1,Alert for Howard Malone,106651
CaseInitiation_v1,Initiated from analytics review,106651
CaseSummary_1_v1,Howard Malone oddity: 14.52,106651
state,Created_v1,106641
CaseTag_v1,Alert for Cheryl Dudley,106641
CaseInitiation_v1,Initiated from analytics review,106641
CaseSummary_1_v1,Cheryl Dudley oddity: 7.57,106641
state,Created_v1,106631
CaseTag_v1,Alert for Cheryl Dudley,106631
CaseInitiation_v1,Initiated from analytics review,106631
CaseSummary_1_v1,Cheryl Dudley oddity: 7.57,106631
state,Created_v1,106621
CaseTag_v1,Alert for Chester Wong,106621
CaseInitiation_v1,Initiated from analytics review,106621
CaseSummary_1_v1,Chester Wong oddity: 24.25,106621
state,Created_v1,106541
CaseTag_v1,Alert for Lamar Waller,106541
CaseInitiation_v1,Initiated from analytics review,106541
CaseSummary_1_v1,Lamar Waller oddity: 9.40,106541
state,Created_v1,106531
CaseTag_v1,Alert for Dakota David,106531
CaseInitiation_v1,Initiated from analytics review,106531
CaseSummary_1_v1,Dakota David oddity: 9.80,106531
state,Created_v1,106521
CaseTag_v1,Alert for Dakota David,106521
CaseInitiation_v1,Initiated from analytics review,106521
CaseSummary_1_v1,Dakota David oddity: 9.80,106521
state,Created_v1,106511
CaseTag_v1,Alert for Theodore Ferrell,106511
CaseInitiation_v1,Initiated from analytics review,106511
CaseSummary_1_v1,Theodore Ferrell oddity: 43.46,106511
state,Created_v1,106501
CaseTag_v1,Alert for Stewart Crane,106501
CaseInitiation_v1,Initiated from analytics review,106501
CaseSummary_1_v1,Stewart Crane oddity: 15.22,106501
state,Created_v1,106491
CaseTag_v1,Alert for Chadwick Parrish,106491
CaseInitiation_v1,Initiated from analytics review,106491
CaseSummary_1_v1,Chadwick Parrish oddity: 16.91,106491
state,Created_v1,106481
CaseTag_v1,Alert for Chadwick Parrish,106481
CaseInitiation_v1,Initiated from analytics review,106481
CaseSummary_1_v1,Chadwick Parrish oddity: 16.91,106481
state,Created_v1,106471
CaseTag_v1,Alert for Yvette Johns,106471
CaseInitiation_v1,Initiated from analytics review,106471
CaseSummary_1_v1,Yvette Johns oddity: 7.36,106471
state,Created_v1,106461
CaseTag_v1,Alert for Kibo Haney,106461
CaseInitiation_v1,Initiated from analytics review,106461
CaseSummary_1_v1,Kibo Haney oddity: 4.83,106461
state,Created_v1,106451
CaseTag_v1,Alert for Jerry Pittman,106451
CaseInitiation_v1,Initiated from analytics review,106451
CaseSummary_1_v1,Jerry Pittman oddity: 41.51,106451
state,Created_v1,106441
CaseTag_v1,Alert for Yvette Johns,106441
CaseInitiation_v1,Initiated from analytics review,106441
CaseSummary_1_v1,Yvette Johns oddity: 7.36,106441
state,Created_v1,106431
CaseTag_v1,Alert for Hermione Calderon,106431
CaseInitiation_v1,Initiated from analytics review,106431
CaseSummary_1_v1,Hermione Calderon oddity: 6.60,106431
state,Created_v1,106421
CaseTag_v1,Alert for Quinlan Crosby,106421
CaseInitiation_v1,Initiated from analytics review,106421
CaseSummary_1_v1,Quinlan Crosby oddity: 7.51,106421
state,Created_v1,106411
CaseTag_v1,Alert for Daria Clayton,106411
CaseInitiation_v1,Initiated from analytics review,106411
CaseSummary_1_v1,Daria Clayton oddity: 5.00,106411
state,Created_v1,106401
CaseTag_v1,Alert for Adara Riddle,106401
CaseInitiation_v1,Initiated from analytics review,106401
CaseSummary_1_v1,Adara Riddle oddity: 43.30,106401
state,Created_v1,106391
CaseTag_v1,Alert for Mason Cherry,106391
CaseInitiation_v1,Initiated from analytics review,106391
CaseSummary_1_v1,Mason Cherry oddity: 16.65,106391
state,Created_v1,106381
CaseTag_v1,Alert for Lucy Silva,106381
CaseInitiation_v1,Initiated from analytics review,106381
CaseSummary_1_v1,Lucy Silva oddity: 19.24,106381
state,Created_v1,106371
CaseTag_v1,Alert for Daria Bentley,106371
CaseInitiation_v1,Initiated from analytics review,106371
CaseSummary_1_v1,Daria Bentley oddity: 14.93,106371
state,Created_v1,106361
CaseTag_v1,Alert for Kameko Chaney,106361
CaseInitiation_v1,Initiated from analytics review,106361
CaseSummary_1_v1,Kameko Chaney oddity: 4.97,106361
state,Created_v1,106351
CaseTag_v1,Alert for Naomi Stone,106351
CaseInitiation_v1,Initiated from analytics review,106351
CaseSummary_1_v1,Naomi Stone oddity: 7.23,106351
state,Created_v1,106341
CaseTag_v1,Alert for April Marsh,106341
CaseInitiation_v1,Initiated from analytics review,106341
CaseSummary_1_v1,April Marsh oddity: 7.39,106341
state,Created_v1,106331
CaseTag_v1,Alert for Kiayada Rose,106331
CaseInitiation_v1,Initiated from analytics review,106331
CaseSummary_1_v1,Kiayada Rose oddity: 9.55,106331
state,Created_v1,106321
CaseTag_v1,Alert for Cameran Carson,106321
CaseInitiation_v1,Initiated from analytics review,106321
CaseSummary_1_v1,Cameran Carson oddity: 8.65,106321
state,Created_v1,106311
CaseTag_v1,Alert for Norman Hensley,106311
CaseInitiation_v1,Initiated from analytics review,106311
CaseSummary_1_v1,Norman Hensley oddity: 26.08,106311
state,Created_v1,106301
CaseTag_v1,Alert for Minerva Morin,106301
CaseInitiation_v1,Initiated from analytics review,106301
CaseSummary_1_v1,Minerva Morin oddity: 11.40,106301
state,Created_v1,106291
CaseTag_v1,Alert for Keith Cote,106291
CaseInitiation_v1,Initiated from analytics review,106291
CaseSummary_1_v1,Keith Cote oddity: 32.65,106291
state,Created_v1,106281
CaseTag_v1,Alert for Alika Snider,106281
CaseInitiation_v1,Initiated from analytics review,106281
CaseSummary_1_v1,Alika Snider oddity: 14.25,106281
state,Created_v1,106271
CaseTag_v1,Alert for Bernard Rollins,106271
CaseInitiation_v1,Initiated from analytics review,106271
CaseSummary_1_v1,Bernard Rollins oddity: 12.87,106271
state,Created_v1,106261
CaseTag_v1,Alert for Bernard Rollins,106261
CaseInitiation_v1,Initiated from analytics review,106261
CaseSummary_1_v1,Bernard Rollins oddity: 12.87,106261
state,Created_v1,106251
CaseTag_v1,Alert for Kirestin Rosario,106251
CaseInitiation_v1,Initiated from analytics review,106251
CaseSummary_1_v1,Kirestin Rosario oddity: 8.31,106251
state,Created_v1,106241
CaseTag_v1,Alert for Kelsie Calderon,106241
CaseInitiation_v1,Initiated from analytics review,106241
CaseSummary_1_v1,Kelsie Calderon oddity: 12.23,106241
state,Created_v1,106231
CaseTag_v1,Alert for Kenyon Reynolds,106231
CaseInitiation_v1,Initiated from analytics review,106231
CaseSummary_1_v1,Kenyon Reynolds oddity: 9.27,106231
state,Created_v1,106221
CaseTag_v1,Alert for Emerald Figueroa,106221
CaseInitiation_v1,Initiated from analytics review,106221
CaseSummary_1_v1,Emerald Figueroa oddity: 11.99,106221
state,Created_v1,106201
CaseTag_v1,Alert for Dacey Conway,106201
CaseInitiation_v1,Initiated from analytics review,106201
CaseSummary_1_v1,Dacey Conway oddity: 8.28,106201
state,Created_v1,106191
CaseTag_v1,Alert for Hanna Gould,106191
